Gene.Symbol, fold.change,P.Value
lpqB,0.09,0.360796964
rskA,0.6,0.640070559
purN,0.1,0.416775618
lexA,0.42,0.310287077
rplS,1.9,0.027013916
deoC,-0.68,0.045369254
esxB,2.09,0.011048335
purU,-0.32,0.366639937
iniA,0.51,0.031832717
ftsY,0.16,0.861588364
nusB,-0.64,0.16392511
fadD26,-0.69,0.272119879
fabH,-1.16,0.000704078
bcpB,-0.94,0.037440631
narG,0.68,0.01972817
treZ,-0.22,0.298599669
rplU,2.88,0.002284385
ipdE1,-0.28,0.002891899
coaD,-0.39,0.088410583
secE,2.59,0.075175971
lprA,0.26,0.030030859
echA19,-0.3,0.879205815
mraZ,1.05,0.007281953
rraA,0.09,0.288081779
menG,1.44,0.774950633
PPE1,4.17,0.006891734
adh,-0.63,0.288450809
mku,-0.38,0.93023389
espF,0.96,0.060132879
glyA2,0.13,0.073660609
egtC,-0.37,0.000288303
rplX,2.34,0.006927661
devR,-0.83,0.02848181
punA,0.07,0.12162029
pdxH,-0.47,0.124095899
pheS,-0.37,0.614870722
dnaJ2,0.08,0.237757611
hns,0.86,0.007748534
rplL,2.62,0.002215578
folP1,-0.61,0.042632464
echA20,-0.76,0.326773745
ispF,-0.1,0.220690214
mpt51,0.75,0.603330789
thiL,-0.23,0.70450123
fabD,0.32,0.007659514
hrp1,0.12,0.226926783
ppa,2.6,0.002649138
rplV,1.43,9.00504E-05
carD,0.3,0.075456901
sigK,0.64,0.018544424
thrB,-0.63,0.020921205
fbpC,0.05,0.652965836
tatA,1.19,0.26844575
ahpC,-0.78,0.098802818
apt,1.16,0.093523886
lepA,1.58,0.483017074
pstS3,0.65,0.071988845
glpQ2,0.56,0.005497167
panC,-0.31,0.358670215
otsB,-0.41,0.367778145
asnB,0.51,0.821788571
truA,-0.72,0.18863473
thiE,-0.19,0.154181235
trmD,-0.62,0.052606953
hemE,-0.81,0.385272514
lppX,-0.95,0.313647965
mprA,-0.25,0.982623442
murB,-0.47,0.534224436
apa,0.72,0.067439703
sodC,1.32,0.812073593
cobIJ,-0.23,0.180090691
nadD,-0.68,0.262324535
folE,0.55,0.001134658
map,0.09,0.722831845
aftC,0.86,0.502588838
fadD29,0.3,0.006709149
lsr2,3.49,0.000187216
phoH2,0.38,0.076747173
fbpB,-0.89,0.307861227
rpmB2,0.15,0.447446024
dcd,-0.22,0.138616199
disA,1.09,0.00404187
devS,-0.29,0.302211365
cyp135B1,1.31,0.000562447
pks10,-1.62,0.068918062
ftsE,1.45,0.031947339
fadE34,0.14,0.017027119
vapC45,0.45,0.32665866
dosT,0.16,0.104505804
rplW,2.36,0.006148612
trmB,-0.02,0.998937344
ppx2,-1.12,0.098921463
pstP,0.3,0.245873967
nuoI,0.61,0.958368054
cysD,0.48,0.037984542
cyp125,0.47,0.047612148
map-1,1.51,0.02136599
rpsR1,1.53,0.360757893
cgoX,-0.3,0.455635864
pyrE,0.82,0.019842081
ispE,-0.92,0.029184088
atpB,-0.43,0.203234701
rpsJ,0.24,0.890809658
folP2,-0.11,0.319775535
purA,-6.64,0.116852466
ipdB,-0.14,0.178679384
ppiB,1.32,1.12146E-05
rplN,1.25,0.082183765
aspC,0.19,0.718495869
gmk,4.92,0.001709148
pdtaS,-0.08,0.616020604
yajC,6.64,0.373900966
def,-0.24,0.06952484
lgt,-0.14,0.731177447
murI,0.59,0.50277021
rpmE,1.11,0.494878622
esxG,6.64,0.373900966
nrdR,1.81,0.259110625
rpmC,0.49,0.001959453
adhA,-1.23,0.012740796
ribE,0.27,0.887409326
pyrD,0.01,0.690831028
pyrF,-0.68,0.044724201
pyrR,-0.38,0.737479722
folA,1.23,0.657209047
scoB,0.48,0.063516984
bccA,-2.36,0.088500236
mviN,-1,0.61679707
bioD,0.26,0.455805286
hip1,-0.27,0.843838398
mpt64,1.77,0.07538096
khpA,-0.34,0.573609055
patA,1.05,0.304120299
secF,0.78,0.307868285
nfo,-0.82,0.294209451
ppm1,0.85,0.368563467
hisH,1.36,0.463001144
udgB,0.19,0.63982442
recD,-6.64,5.94335E-08
orn,0.32,0.691647544
nth,0.48,0.711827205
echA17,-0.06,0.186254417
pstB2,1.66,0.256239071
pepE,0.81,0.027800068
iniC,0.53,0.00989651
holA,-6.64,0.116153886
rbfA,0.2,0.122364989
pknK,-0.51,0.360274073
uvrD1,6.64,2.52316E-08
mazF7,-1.18,0.302877728
rpsK,-0.73,0.008255961
iscS,0.62,0.007698761
rpmD,1.15,0.026768325
ipdE2,-1.84,0.003900402
eccE5,-0.49,0.850775206
uvrB,-0.61,0.371680266
tatD,1.06,0.045669841
sigH,0.86,0.108321855
acyP,0.26,0.57716622
cdd,0.08,0.424037378
nat,0.85,0.011943968
mftF,0.68,0.010940751
ruvA,-0.61,0.163360567
mhuD,1.18,0.289332779
hisF,-0.54,0.079716014
accE5,1.83,0.00753531
htdZ,-1.21,0.099216749
octT,-0.28,0.011623193
eccCa1,6.64,3.3406E-07
mftD,0.2,0.291427629
nuoB,-0.09,0.32637934
infA,1.11,0.000468687
cyp142,-0.29,0.345065304
ricR,-0.73,0.163283474
rpsR2,-1.52,0.114653645
darG,0.69,0.988050152
ligC,-0.13,0.993528069
hsaG,0.65,0.09715262
ctaD,1.9,0.001040805
mutT1,-0.67,0.399116178
cwlM,0.72,0.637018805
pncB1,0.82,0.017919804
